repo_name,language,description,stars,forks,watchers,open_issues,closed_issues,open_pull_requests,merged_pull_requests,contributors,commits,releases,license,topics,created_date,last_commit_date,readme_length,has_ci,test_coverage,has_code_of_conduct,has_contributing_guide,has_wiki,has_pages,has_discussions,default_branch,is_archived,is_fork,size_kb
deep-dash-bot,JavaScript,lightweight library built with JavaScript,0,0,0,4,19,1,6,1,22,0,LGPL-3.0,web|tool,2024-12-25,2024-12-25,21766,0,,0,0,0,0,1,main,0,0,1528
turbo-form,C++,Production-ready platform for CI/CD pipelines,4,3,5,7,46,2,15,1,404,46,MIT,game-engine|performance|graphics|awesome-list|hacktoberfest,2019-12-31,2024-09-30,320,1,89.6,0,0,1,0,1,main,0,0,2008
agent-js,TypeScript,Production-ready engine for microservices,1,0,5,7,54,2,40,1,114,2,MIT,api|frontend,2024-08-19,2024-12-18,103,1,91.8,0,0,1,0,0,main,0,0,4695
core-cli,Swift,CLI framework for building message queuing,28,11,4,5,34,1,23,8,2944,11,BSD-3,macos|ios|systems|react|desktop,2021-04-21,2024-12-26,615,1,44.9,0,1,0,0,0,master,0,1,93724
gocore,C++,Modern SDK written in C++,6,0,6,3,31,0,12,5,136,4,MIT,graphics|game-engine|transformers,2024-06-23,2024-12-11,1718,0,,0,1,0,0,0,master,0,0,3492
fastkit,JavaScript,A extensible framework for task scheduling,24,12,2,3,27,1,11,5,528,1,Apache-2.0,frontend|documentation,2024-02-14,2024-12-20,1417,1,24.6,0,0,0,0,0,master,0,0,4407
graph-dev,Swift,real-time tool built with Swift,17,0,0,2,21,0,11,7,277,1,MIT,macos|mobile|swiftui|ios|apple,2024-03-12,2024-10-17,755,0,,0,0,0,0,0,master,0,0,5069
core,PHP,High-performance service for web applications,52,8,2,2,17,0,7,9,894,2,AGPL-3.0,web|wordpress|etl|api|framework,2024-01-23,2024-11-26,4770,0,,0,1,0,0,0,main,0,0,6322
ultraguard,TypeScript,High-performance engine for log analysis,6,2,0,0,6,0,3,5,1613,38,BSD-3,api|frontend|angular|serverless|education,2020-05-25,2024-10-27,697,0,,0,1,1,0,0,master,0,1,18677
quick-sync-js,JavaScript,Modern toolkit written in JavaScript,4,3,0,6,30,2,12,4,820,4,MIT,typescript|web|database|devops,2023-11-25,2024-12-22,3407,0,,0,0,0,0,0,main,0,0,2565
hyperform,C++,Fast and lightweight platform for data processing,5,0,0,8,53,1,26,1,227,14,Apache-2.0,performance|embedded|graphics|security,2023-08-20,2024-09-09,758,0,,0,1,1,0,0,master,0,0,5070
next-bench-lab,Python,Modern toolkit written in Python,2,4,0,5,33,1,25,1,42,0,None,machine-learning|cloud|flutter|fine-tuning,2024-11-16,2024-11-21,393,0,,0,1,0,0,0,main,0,1,12344
py-pilot-bench,JavaScript,Batteries-included library for data processing,8,0,0,21,108,5,57,3,296,15,ISC,react|flutter|cross-platform,2023-08-20,2024-08-20,1402,0,,0,0,0,1,0,main,0,0,24387
smartguard,Python,High-performance tool for ML model deployment,16,0,4,6,48,0,35,6,373,0,ISC,machine-learning|web,2024-05-15,2024-11-24,1534,1,70.9,0,0,0,0,0,develop,0,0,62872
auto-hub-rs,PHP,Fast and lightweight CLI for ML model deployment,3,0,0,5,25,0,14,3,320,9,Apache-2.0,backend|laravel|wordpress|web,2024-02-15,2024-08-27,10992,0,,0,0,0,0,0,develop,0,0,955
fastspark,C++,Production-ready framework for message queuing,26,4,0,5,45,0,23,1,53,5,AGPL-3.0,embedded|systems|game-engine|performance|graphics,2022-04-17,2024-03-10,2135,0,,0,0,0,1,0,main,0,0,718
open-flow-light,C++,A real-time pipeline for authentication,2,0,0,0,1,0,0,1,71,0,MIT,game-engine|systems|performance|embedded|graphics,2024-03-31,2024-10-21,1615,0,,1,0,1,0,1,main,0,0,1678
deepguard,PHP,Production-ready SDK for microservices,0,0,2,0,4,0,2,1,35,3,MIT,wordpress|cms|web|desktop,2024-01-08,2024-11-17,1259,0,,0,0,0,0,0,main,0,0,15089
meta-stack-kit,Java,Production-ready toolkit for database management,78,26,6,3,33,0,26,9,294,9,MIT,spring|docker|tensorflow,2022-09-24,2024-11-08,679,0,,0,0,1,0,0,main,0,0,472
turbo-stack-track,Go,async pipeline built with Go,33,16,1,2,6,0,1,6,1086,7,MIT,devops|typescript,2024-02-13,2024-11-09,962,1,83.4,0,0,1,0,0,main,0,0,9825
provault,Python,Production-ready dashboard for API development,14,0,4,4,47,1,26,6,670,27,MIT,automation|framework,2022-06-24,2024-12-21,663,0,,0,1,1,0,0,master,0,0,6804
freeagent,Python,modular service built with Python,1,0,8,0,0,0,0,1,65,2,Apache-2.0,web|android|transformers,2024-07-26,2024-12-12,1329,1,44.1,0,0,0,0,0,master,0,0,1042
track-ai,C++,engine framework for building web applications,1,6,2,1,29,0,14,1,60,0,BSD-3,performance|embedded|game-engine|kubernetes,2024-10-26,2024-10-31,178,0,,0,0,1,0,0,main,0,0,13998
pipe-js,Java,Modern engine written in Java,16,6,2,5,14,0,8,3,258,2,ISC,enterprise|backend|microservices|spring|streaming,2024-05-08,2024-10-02,156,1,81.0,0,0,0,0,0,master,0,1,1208
form-rs,Go,lightweight library built with Go,386,33,1,6,45,1,14,12,2936,19,GPL-3.0,devops|cli|cross-platform,2023-03-05,2024-12-29,574,0,,1,1,0,0,0,main,0,0,55511
pro-serve-pilot,Ruby,real-time library built with Ruby,13,4,1,3,9,0,3,2,272,0,MIT,automation|web|devops,2024-06-13,2024-12-22,438,0,,0,0,0,0,0,main,0,1,11340
turbo-spark-guard,Rust,Production-ready SDK for web applications,47,12,2,22,78,10,38,8,1588,54,MIT,embedded|game-engine,2015-01-04,2024-12-03,1853,1,71.2,0,0,0,0,0,master,0,0,4552
vault-io,Go,Fast and lightweight SDK for microservices,3,9,2,5,24,2,12,1,140,7,Apache-2.0,kubernetes|embedded|rest-api|nodejs,2022-08-18,2024-11-15,588,1,21.3,0,0,0,0,0,main,0,0,326
metabridge,Go,engine framework for building container orchestration,22,5,0,2,15,0,9,3,140,4,MIT,cli|cloud,2024-01-22,2024-10-22,2380,0,,0,0,1,0,0,develop,0,0,3066
sync-cli,JavaScript,Modern engine written in JavaScript,6,0,0,3,20,0,15,3,1773,35,MIT,nodejs|rag|library,2015-01-04,2024-12-31,553,0,,0,0,1,0,0,main,0,0,11405
super-vault-lab,Python,High-performance library for data visualization,50,14,5,1,9,0,2,7,151,9,AGPL-3.0,api|web,2023-12-24,2024-11-12,18181,0,,0,0,0,0,0,master,0,0,1333
fast-edge-kit,TypeScript,Modern library written in TypeScript,6,0,6,2,15,0,7,5,120,0,BSD-3,frontend|react|kubernetes|game-engine,2024-12-24,2024-12-26,865,0,,0,0,0,0,0,main,0,0,401
storm-go,JavaScript,blazing-fast tool built with JavaScript,5,0,5,4,31,1,15,3,602,15,Apache-2.0,frontend|typescript|mlops|library,2023-07-28,2024-09-15,1898,1,53.7,0,0,0,0,1,develop,0,0,2227
pro-pilot-app,TypeScript,Production-ready pipeline for task scheduling,16,6,4,1,12,0,9,4,1173,23,None,react|python,2022-04-04,2024-11-20,571,0,,0,0,1,0,0,main,0,0,471302
fastpipe,Kotlin,Scalable toolkit for database management,3,0,2,1,28,0,18,3,345,2,BSD-3,backend|mobile|multiplatform|android|transformers,2024-04-04,2024-12-19,693,0,,0,0,1,0,0,main,0,0,8816
magic-form-graph,JavaScript,High-performance platform for real-time analytics,1,0,0,5,52,1,40,1,53,0,MIT,nodejs|typescript|frontend,2024-10-05,2024-11-17,1864,1,71.4,1,0,1,0,0,main,0,0,1828
awesome-lens-edge,Python,Open-source platform for message queuing,65,24,3,7,59,2,32,2,630,15,None,automation|data-pipeline|rest-api|cloud,2018-08-12,2024-12-16,1318,0,,1,0,0,0,0,main,0,1,517177
easybench,JavaScript,Production-ready SDK for CI/CD pipelines,14,1,0,1,15,0,9,3,152,7,Apache-2.0,web|frontend|typescript|nodejs|api,2023-10-21,2024-11-12,2970,0,,1,0,0,0,0,main,0,1,20540
micro-core-dash,JavaScript,Scalable server for data processing,3,5,0,5,13,0,9,2,147,29,MIT,react|typescript|ios,2022-02-05,2024-12-13,3957,0,,0,1,1,1,0,main,0,0,109797
awesomeform,C++,Scalable engine for task scheduling,1,0,5,9,82,1,26,1,326,20,Apache-2.0,game-engine|documentation,2020-11-16,2024-09-25,13399,0,,0,0,1,0,0,develop,0,0,6708
autolens,Go,Scalable service for container orchestration,11,0,3,0,0,0,0,6,934,9,MIT,microservices|documentation,2023-02-15,2024-10-09,2912,1,83.7,0,0,0,0,0,main,0,0,20782
next-sync-ai,PHP,Open-source SDK for ML model deployment,0,9,0,1,14,0,7,1,243,18,None,web|cms|open-source|systems,2023-04-25,2024-12-09,1144,0,,0,0,0,0,0,develop,0,0,5507
turboguard,C++,Scalable dashboard for data visualization,1,0,1,6,77,2,60,1,74,8,MIT,systems|game-engine|performance,2023-07-04,2024-12-28,692,1,48.8,0,0,0,0,0,develop,0,0,721
track-cli,TypeScript,Batteries-included platform for task scheduling,6,1,0,0,1,0,0,4,640,15,MIT,frontend|react|angular|fine-tuning|cross-platform,2018-09-05,2024-12-18,516,1,88.8,0,1,0,0,0,main,0,0,4534
kit-app,PHP,distributed toolkit built with PHP,20,15,0,8,60,1,20,1,99,2,BSD-3,web|cms|wordpress|testing,2024-02-23,2024-12-03,768,0,,0,0,0,0,0,develop,0,0,4109
simple-wave-rs,Python,Modern service written in Python,5,1,0,5,25,0,8,4,177,32,MIT,automation|machine-learning|computer-vision,2021-11-08,2024-12-27,1546,1,70.5,0,0,0,0,0,main,0,0,3343
hyper-hub-agent,Python,Fast and lightweight dashboard for API development,40,18,3,14,89,2,29,6,1209,10,Apache-2.0,web|frontend,2023-03-23,2024-11-26,5265,0,,0,0,0,1,0,develop,0,0,2454
bridge-ui,Python,High-performance engine for microservices,33,11,0,6,45,0,16,6,126,2,MIT,web|machine-learning|api|automation,2024-09-29,2024-11-10,2002,0,,0,0,0,0,0,main,0,0,2292
ultraagent,C#,Scalable CLI for data processing,78,7,10,13,36,5,16,10,1922,19,MIT,game-engine|unity|dotnet|web|desktop,2022-04-19,2024-12-23,946,1,70.2,0,1,1,0,0,develop,0,1,6292
pro-sync-dash,Java,Production-ready toolkit for database management,5,0,0,3,21,0,7,1,57,11,Apache-2.0,enterprise|microservices|android|embedded|library,2020-12-22,2024-11-08,282,1,46.2,0,0,0,0,0,main,0,0,1312
deep-light-vault,Python,library framework for building task scheduling,1,0,0,2,40,0,14,1,89,3,LGPL-3.0,machine-learning|data-science|devops|serverless,2023-12-19,2024-10-04,440,0,,0,1,1,0,0,develop,0,0,49209
pro-link-io,Java,Modern dashboard written in Java,4,0,0,4,25,0,13,4,689,4,MIT,spring|android|pytorch|microservices|api,2022-10-19,2024-12-23,1533,0,,0,0,0,0,0,main,0,1,7181
auto-dash-sync,Python,lightweight pipeline built with Python,12,2,3,2,19,0,11,1,124,2,MIT,automation|api|data-science|machine-learning,2023-09-25,2024-12-09,2414,0,,0,0,1,0,0,main,0,0,645
hub-dev,C++,library framework for building ML model deployment,4,2,3,3,30,0,9,4,178,0,None,game-engine|performance|systems|graphics,2024-12-13,2025-01-01,3679,0,,1,0,0,0,0,main,0,0,385
vault-api,Java,Modern CLI written in Java,1,12,0,4,29,1,17,1,140,10,LGPL-3.0,spring|microservices|backend|web|machine-learning,2023-12-14,2024-12-22,3517,0,,0,0,0,0,0,main,0,0,1533
react-bot-bench,TypeScript,A cloud-native toolkit for data processing,5,2,1,12,68,4,40,4,487,10,Unlicense,react|devops,2023-10-22,2024-10-04,354,0,,1,0,0,0,0,main,0,0,1165
quickflow,JavaScript,distributed engine built with JavaScript,4,4,0,6,32,0,14,1,424,108,MIT,nodejs|web|machine-learning,2015-01-04,2024-07-05,513,0,,0,0,0,0,0,master,0,0,3505
guard-rs,Rust,Scalable toolkit for file management,16,9,0,9,17,1,6,7,1596,25,GPL-3.0,embedded|wasm|python,2022-09-16,2024-12-22,3480,0,,0,0,0,0,0,main,0,1,151667
next-kit-bench,TypeScript,Production-ready toolkit for CI/CD pipelines,3,3,2,16,59,6,36,2,263,5,BSD-3,frontend|cli,2024-07-12,2024-12-11,4084,1,59.7,0,0,0,0,0,develop,0,0,1814
smart-agent-flow,Python,Open-source tool for ML model deployment,2,0,0,2,51,0,35,1,42,11,None,machine-learning|automation|web,2023-09-22,2024-04-21,1142,0,,0,0,1,0,0,main,0,0,585
super-pipe,Python,Production-ready service for data visualization,7,0,4,3,22,0,9,3,232,1,ISC,web|data-science|database|typescript,2024-09-20,2024-11-12,8255,1,90.3,1,1,1,0,1,main,0,0,6697
kit-io,Dart,Scalable SDK for file management,3,0,2,1,9,0,4,3,81,21,GPL-3.0,frontend|ui|microservices|javascript,2020-04-06,2024-12-15,4636,0,,0,0,1,0,0,main,0,0,813
turbopilot,C,A blazing-fast server for file management,0,2,0,0,26,0,9,1,24,6,MIT,networking|linux|systems|embedded|testing,2020-03-11,2024-09-05,2464,0,,0,0,0,1,0,main,0,0,158
craft-ml,C++,Production-ready engine for API development,24,5,1,9,40,2,27,2,545,39,Apache-2.0,systems|game-engine|embedded|graphics|data-science,2021-07-01,2024-12-18,1928,1,41.3,0,0,0,1,0,main,0,0,2792
pilot-go,JavaScript,production-grade tool built with JavaScript,1,3,0,6,44,2,27,1,101,2,Apache-2.0,typescript|frontend,2024-03-22,2024-11-26,145,0,,0,0,1,1,0,master,0,1,494
magicgraph,Dart,Scalable platform for CI/CD pipelines,0,0,0,6,39,2,20,1,56,0,AGPL-3.0,flutter|cross-platform,2024-11-18,2024-12-13,357,0,,0,0,1,0,0,master,0,0,712
goedge,Ruby,cloud-native dashboard built with Ruby,6,1,0,8,47,1,28,2,160,1,Apache-2.0,rails|graphql|streaming|ios,2024-01-17,2024-09-25,1074,0,,0,0,0,0,0,main,0,0,6770
flow-ai,C#,Production-ready framework for container orchestration,2,8,3,2,13,0,10,2,174,16,MIT,game-engine|library|fine-tuning|javascript|database,2020-01-01,2024-04-28,8038,0,,0,1,1,1,0,master,0,0,1017
deep-craft-go,Java,Fast and lightweight library for microservices,0,0,4,1,10,0,5,1,275,44,MIT,microservices|enterprise|backend|rag,2020-08-27,2024-12-14,5381,0,,0,1,0,0,0,develop,0,0,21837
super-stack-sync,JavaScript,Open-source dashboard for data processing,4,9,0,2,18,0,9,4,258,4,BSD-3,typescript|react|frontend|nodejs|cloud,2024-08-26,2024-12-23,508,0,,0,1,0,0,0,main,0,0,2910
craft-io,Python,Modern server written in Python,4,1,0,4,37,1,19,3,301,7,MIT,automation|web,2022-09-28,2024-11-19,3804,0,,1,1,1,0,0,main,0,0,77939
pipe-go,C,Fast and lightweight pipeline for file management,132,42,14,1,5,0,1,8,887,12,BSD-3,linux|performance|systems,2023-09-26,2024-10-29,466,0,,0,1,0,0,1,main,0,0,5587
go-agent-app,Java,Modern pipeline written in Java,42,14,3,1,31,0,23,4,694,16,MIT,spring|computer-vision,2022-09-09,2024-09-21,118,1,62.3,0,0,0,1,0,main,0,0,3394
ultrascan,JavaScript,Batteries-included CLI for task scheduling,15,2,2,7,21,2,12,4,304,9,BSD-3,react|nodejs|mlops,2022-08-09,2024-12-04,12639,1,30.7,0,0,1,0,0,master,0,0,4445
flow-io,JavaScript,Scalable platform for file management,6,0,0,10,25,3,12,4,274,0,MIT,typescript|cli|llm|computer-vision,2024-10-16,2024-10-29,109,0,,0,0,1,0,0,main,0,0,10807
pro-form-pipe,Go,Modern dashboard written in Go,33,7,0,9,18,1,13,1,130,5,None,cloud|cli|microservices,2023-12-03,2024-11-10,117,0,,0,1,0,0,0,main,0,0,53279
fastwave,Python,pipeline framework for building log analysis,23,12,7,14,95,5,54,8,127,1,GPL-3.0,data-science|serverless|deep-learning,2024-07-03,2024-11-28,1707,0,,0,0,0,0,0,develop,0,0,562
serve-api,Kotlin,Batteries-included pipeline for authentication,5,3,0,0,0,0,0,3,402,12,None,android|multiplatform|backend|mobile|spring,2023-05-17,2024-12-26,815,1,60.9,0,0,1,0,0,main,0,0,4740
go-bridge-api,Ruby,Production-ready framework for CI/CD pipelines,25,7,0,1,14,0,9,9,322,0,LGPL-3.0,web|automation|api|rails|devops,2024-08-29,2024-10-27,1937,1,75.3,0,0,0,1,0,master,0,0,3391
scan-ui,C#,Production-ready library for database management,10,0,0,1,4,0,3,5,797,8,Apache-2.0,unity|dotnet|desktop|observability,2024-03-17,2024-12-29,11378,0,,0,0,0,0,0,main,0,1,36130
quick-flow-forge,TypeScript,Modern toolkit written in TypeScript,161,36,20,2,16,0,11,7,666,9,GPL-3.0,react|api,2024-01-05,2024-11-04,4400,0,,1,0,0,0,0,main,0,0,7437
graph-ui,Rust,Batteries-included CLI for database management,13,2,3,2,30,0,14,4,162,5,None,systems|performance|wasm|testing,2023-10-27,2024-12-24,2406,0,,0,1,0,0,0,master,0,0,1042
sync-js,Go,Open-source tool for real-time analytics,42,12,0,4,30,1,21,1,256,21,MIT,kubernetes|cloud|microservices|devops,2021-06-21,2024-10-23,456,1,86.1,0,0,1,1,0,main,0,0,4576
wave-dev,Rust,Scalable framework for message queuing,57,2,6,1,11,0,5,2,16,0,GPL-3.0,systems|react|python|cli,2024-12-25,2024-12-28,721,0,,0,0,1,0,0,develop,0,0,213
lens-cli,Python,Production-ready server for CI/CD pipelines,99,11,14,29,87,6,43,3,1278,56,Apache-2.0,automation|web,2020-02-03,2024-11-18,2701,1,58.4,1,0,0,1,0,main,0,0,72648
awesome-track-js,TypeScript,production-grade service built with TypeScript,33,10,0,10,67,3,38,5,105,9,BSD-3,api|web|angular|frontend|react,2023-05-29,2024-10-25,766,1,92.9,1,0,0,0,0,main,0,0,1398
magic-graph-ai,Python,A type-safe library for API development,29,11,2,4,27,1,9,4,201,23,MIT,machine-learning|api|llm,2022-12-01,2024-10-04,3351,1,49.6,0,0,0,0,0,develop,0,0,903
track,Java,Scalable framework for authentication,8,5,3,2,17,0,7,3,324,2,MIT,spring|android|enterprise|backend|microservices,2024-09-15,2024-12-20,1590,1,68.6,0,0,1,0,0,main,0,0,17066
hyper-sync-api,JavaScript,A extensible framework for message queuing,13,0,0,1,12,0,7,3,805,18,None,frontend|web,2023-01-04,2024-10-29,979,0,,1,0,1,0,1,main,0,0,11893
freecore,Python,Batteries-included service for API development,2,0,0,20,86,2,30,1,22,9,MIT,automation|api|javascript|serverless,2023-11-25,2024-11-21,4447,0,,0,0,1,0,0,develop,0,0,159461
next-pipe-track,Python,Fast and lightweight platform for task scheduling,8,5,0,9,63,3,31,3,138,2,MIT,data-science|machine-learning|api,2024-09-07,2024-12-30,907,0,,0,0,1,0,0,main,0,0,5605
lens-ml,Go,High-performance framework for database management,8,0,0,2,4,0,2,6,1651,10,None,microservices|cli|devops|cloud,2022-11-17,2024-11-29,235,1,17.8,0,0,1,0,0,develop,0,0,14853
autoagent,Python,High-performance engine for task scheduling,6,5,0,8,53,3,39,3,105,0,MIT,data-science|go,2024-09-03,2024-10-19,5336,0,,0,0,0,0,0,master,0,0,9094
deep-bench-scan,C,Open-source engine for data processing,0,0,0,13,74,1,28,1,101,2,BSD-3,performance|security,2024-08-28,2024-11-19,1105,1,79.2,0,0,0,0,0,main,0,0,1771
meta-form-bridge,Go,lightweight platform built with Go,6,0,1,6,73,2,56,4,1236,76,MIT,cloud|devops|etl,2016-12-21,2024-10-24,918,0,,0,0,0,0,0,master,0,0,7979
meta-hub-graph,TypeScript,Modern pipeline written in TypeScript,20,1,4,6,19,2,10,4,822,3,Apache-2.0,angular|kubernetes|react,2023-06-03,2024-12-29,1087,1,79.8,0,0,0,0,0,master,0,0,34158
bot-dev,Go,High-performance framework for data visualization,7,4,0,3,36,1,13,2,515,21,Apache-2.0,cloud|cli|graphics|deep-learning|pytorch,2021-05-30,2024-11-10,609,0,,0,1,1,0,0,develop,0,0,1208
