stars,forks,language,total_commits,issues_count,team_size,KLOC,Effort_pm
35,12,Python,605,3,3,30.25,8.491706670491256
31,3,TypeScript,1850,5,6,92.5,27.493336354265175
24,1,Dart,420,4,1,21.0,4.631397743885314
1,5,Go,91,1,1,4.55,0.5206919757037715
0,0,Shell,74,1,1,3.7,0.1
76,6,PHP,2035,5,4,101.75,29.045858733544577
51,0,Java,560,7,11,28.0,8.78647923873265
9,1,PHP,763,2,5,38.15,10.227532304826198
9,0,Python,241,8,6,12.05,3.1486944664979126
8,0,Python,170,1,5,8.5,3.098030240506038
24,17,Swift,349,4,5,17.45,5.935125420420669
14,4,PHP,128,24,5,6.4,1.9719417892938438
8,8,JavaScript,377,2,2,18.85,3.4588588866248404
5,4,Go,177,8,1,8.85,1.9500877372405587
1,5,Rust,31,4,1,1.55,0.8017442189304307
24,2,Kotlin,935,3,3,46.75,12.415924155385412
0,8,Rust,166,2,1,8.3,3.4253078776593124
2,4,TypeScript,39,1,1,1.95,0.1
22,1,TypeScript,200,2,2,10.0,4.241571660085794
12,5,TypeScript,1546,0,5,77.3,21.588398134527132
1,0,Rust,34,1,1,1.7,1.7320791306740548
0,0,Kotlin,3,2,1,0.15,0.1
109,14,Java,512,23,3,25.6,7.354190316920948
1,2,JavaScript,34,3,1,1.7,1.5190704953743437
0,8,JavaScript,19,1,1,0.95,0.40190218419705004
2,0,C#,66,3,1,3.3,2.741093178533056
13,10,PHP,1646,5,6,82.3,22.260008380571122
21,1,Python,1495,8,6,74.75,22.526630329729066
4,7,Python,874,3,3,43.7,13.425621399199281
2,0,Go,88,0,1,4.4,1.3173140325139165
5,2,Python,196,0,5,9.8,3.782200409115032
27,8,Swift,3031,7,7,151.55,47.053851394226015
9,0,JavaScript,77,0,2,3.85,0.1
25,17,Python,4560,6,8,228.0,71.53553494862973
6,0,C,221,3,3,11.05,3.432833106209518
9,1,Python,213,7,2,10.65,1.6624084620942914
0,0,JavaScript,230,1,1,11.5,1.3138846392258556
10,0,Python,581,5,5,29.05,7.53289948676172
1,0,Python,91,0,1,4.55,1.265383852854669
99,19,Python,592,3,8,29.6,9.242779038936114
9,0,Python,47,2,3,2.35,2.032834175133522
12,3,Python,29,1,1,1.45,2.022406208334724
87,0,Python,725,4,7,36.25,10.632108837454588
33,7,Go,333,4,3,16.65,5.794049368551844
9,0,C++,228,0,2,11.4,3.102596644979464
17,0,TypeScript,98,11,2,4.9,2.5682130354377826
3,0,JavaScript,101,9,1,5.05,0.31120802509171974
5,3,Java,835,0,4,41.75,13.555729403189751
0,0,Kotlin,91,2,1,4.55,2.2246738596699682
3,2,Kotlin,65,3,1,3.25,1.6624109108991285
1,2,Python,126,4,1,6.3,0.262504493388932
14,0,JavaScript,2300,3,5,115.0,34.92554122683015
0,0,JavaScript,141,2,1,7.05,1.708778146346105
16,7,JavaScript,989,4,5,49.45,15.265928558572323
17,0,Go,199,2,1,9.95,1.1982601992507231
47,15,TypeScript,881,19,8,44.05,12.42472501367733
6,6,Python,246,0,5,12.3,2.364433361940697
32,2,TypeScript,2749,4,8,137.45,41.762338141328726
20,8,Java,1716,2,7,85.8,24.954781374514063
3,0,Python,392,4,1,19.6,5.325327299326869
8,0,Swift,457,1,3,22.85,5.709383559720166
59,19,Python,562,4,3,28.1,8.864758842093352
7,0,C,1655,18,5,82.75,24.98355930097349
6,0,Python,134,0,4,6.7,1.205563509479251
35,4,Swift,392,2,2,19.6,4.564936689559521
1,1,C,46,0,1,2.3,0.1
1,0,Julia,48,5,1,2.4,1.3420505956481579
0,0,PHP,157,2,1,7.85,2.4813217039400954
0,3,Ruby,21,8,1,1.05,0.42132114028791523
2,0,Rust,78,2,1,3.9,2.1092433947548765
2,2,Ruby,26,7,2,1.3,0.45099572841287533
50,14,Python,1374,0,3,68.7,17.81174093353973
249,63,Go,2906,23,10,145.3,46.796142493452656
25,9,Java,954,2,5,47.7,13.806181661269491
2,0,Kotlin,195,1,1,9.75,2.011595449125485
0,5,Java,29,16,1,1.45,1.203075466602034
113,24,TypeScript,92,1,8,4.6,0.9852283750928217
13,8,Rust,411,1,5,20.55,6.307546776034382
13,2,JavaScript,749,9,5,37.45,10.857974471316979
180,68,Python,1219,6,7,60.95,19.274397049953393
52,3,Java,182,2,2,9.1,1.8318729701216268
7,3,TypeScript,363,13,2,18.15,5.082172925024765
66,9,JavaScript,207,4,3,10.35,3.6092709538774455
0,0,TypeScript,72,4,1,3.6,0.1903765615235794
0,6,TypeScript,17,2,1,0.85,0.1
0,0,JavaScript,283,7,1,14.15,4.1429137373458715
1,4,TypeScript,87,9,1,4.35,0.1
13,7,C++,1372,0,6,68.6,20.100638699741552
31,13,JavaScript,3281,3,9,164.05,51.64015846299549
0,0,Shell,147,5,1,7.35,1.3942635563754924
7,0,C,294,7,3,14.7,3.4882795413343963
10,0,Java,97,10,2,4.85,2.6663907499589685
4,0,JavaScript,42,0,4,2.1,0.826429728190858
4,4,Go,639,3,2,31.95,8.634956936247923
3,0,Swift,28,0,1,1.4,2.620779983918848
43,1,Rust,88,7,2,4.4,2.7944250062712204
1,0,PHP,324,3,1,16.2,4.685112295338692
14,9,Go,33,1,4,1.65,0.1
0,0,Rust,48,5,1,2.4,0.7104183781574146
41,16,JavaScript,846,3,8,42.3,13.556519143190846
2,0,C#,170,0,2,8.5,0.9402830403138025
2,1,JavaScript,141,0,2,7.05,2.2046449684441716
0,0,C++,118,0,1,5.9,1.2417963265454193
8,12,Kotlin,202,1,4,10.1,2.4576768270692653
33,4,Python,703,2,2,35.15,9.712681417872105
11,11,Rust,1957,4,6,97.85,28.925249029935284
0,0,Python,100,2,1,5.0,0.1
21,14,C#,319,9,8,15.95,4.387498701942125
9,1,Python,75,2,1,3.75,1.4231603472945862
0,4,Shell,15,3,1,0.75,2.0451130403590896
10,0,Python,129,9,3,6.45,1.1168401705085904
0,1,Dart,75,2,1,3.75,0.4616214075799375
176,45,PHP,3861,8,11,193.05,60.4085836428337
9,3,Go,84,9,5,4.2,2.20520711267244
0,0,PHP,60,0,1,3.0,1.1095614114937224
25,2,PHP,340,27,4,17.0,5.542317121174228
1,5,Shell,130,5,1,6.5,0.1
9,4,JavaScript,1369,7,6,68.45,21.8660740032062
1,0,Go,15,48,1,0.75,0.1
0,0,Python,92,2,1,4.6,3.2530660703485017
0,2,Rust,58,5,1,2.9,0.1
21,13,Python,1252,2,8,62.6,18.450503520314925
2,0,Go,54,4,1,2.7,0.1
4,10,Go,290,4,3,14.5,5.598646958090392
22,2,Java,844,1,5,42.2,12.26794775015794
1,0,Java,33,3,1,1.65,0.1
10,0,Ruby,114,2,4,5.7,1.6849353642602694
59,13,PHP,985,6,11,49.25,14.273868961663453
16,4,Java,1061,9,6,53.05,17.380658770025168
2,8,Go,371,0,2,18.55,3.7797647710601954
1,0,Shell,124,6,2,6.2,1.9322223695312475
14,2,Python,951,1,7,47.55,15.14370387814667
1,0,Python,248,10,1,12.4,4.512330958939752
19,5,Python,523,0,6,26.15,7.877209160642952
648,175,Rust,1132,6,18,56.6,18.95067714077886
5,0,TypeScript,1430,11,4,71.5,21.77967687653776
6,1,Ruby,1267,1,5,63.35,18.596710251156257
16,5,C++,66,5,5,3.3,0.9742119118325271
0,1,JavaScript,15,5,1,0.75,0.1
33,10,Scala,157,5,1,7.85,0.4811242771740809
19,0,Ruby,409,8,3,20.45,5.898093412010672
2,0,JavaScript,131,2,2,6.55,0.405967188596857
6,6,TypeScript,258,1,5,12.9,4.417790872657878
8,0,JavaScript,312,9,3,15.6,3.6175220627460254
3,0,Python,36,3,2,1.8,0.1
1573,462,Python,1274,4,13,63.7,21.32879618408822
11,0,Shell,154,6,2,7.7,2.17671656706147
35,0,TypeScript,787,0,4,39.35,9.827529157766161
9,0,TypeScript,351,1,3,17.55,4.731660260785334
18,6,C#,1343,8,7,67.15,22.00767152096773
29,8,Go,1469,4,7,73.45,21.944015491731196
0,2,Shell,37,0,1,1.85,0.931367879625921
2,0,PHP,316,0,3,15.8,4.749936419883972
2,5,Java,35,1,1,1.75,0.1
11,0,TypeScript,1880,4,5,94.0,26.569356132707092
15,0,Lua,209,2,2,10.45,1.7154423189366594
0,1,C#,21,4,1,1.05,0.5255347249843354
44,12,Dart,1504,4,9,75.2,21.690573530992385
7,0,Python,79,3,3,3.95,1.0663859261582154
9,7,Kotlin,315,17,4,15.75,4.457915073671724
56,9,Rust,332,2,6,16.6,4.281261473731956
19,7,Python,550,1,3,27.5,7.707995985368411
1,8,Go,202,0,1,10.1,2.448721239136471
9,0,C++,505,0,4,25.25,7.338356792863128
3,0,Python,108,7,3,5.4,0.9538548153157336
36,9,Java,630,11,10,31.5,10.972648125359195
12,10,Swift,562,8,5,28.1,7.055464905510611
48,4,JavaScript,118,2,2,5.9,1.629302181347136
2,10,Java,124,1,2,6.2,1.7352879369023901
10,4,Java,1005,1,4,50.25,14.332967152319911
7,0,JavaScript,96,0,2,4.8,0.8488837102896181
37,0,C,1083,8,7,54.15,17.620828146717013
6,1,PHP,210,4,4,10.5,3.386391773771988
19,0,Python,796,10,5,39.8,12.236648187675568
5,0,R,165,1,1,8.25,1.1493388606142254
7,0,Kotlin,1981,6,4,99.05,29.33160366213804
1,1,JavaScript,27,7,1,1.35,0.2663017085013573
4,11,Swift,51,2,1,2.55,0.1
3,0,Python,54,0,3,2.7,0.1
52,0,R,649,1,6,32.45,8.866036333391259
7,0,C++,695,17,4,34.75,11.749704638282546
7,1,Rust,333,1,2,16.65,4.4917463516934175
2,1,Python,111,4,2,5.55,2.5107879915331686
8,10,Scala,250,8,1,12.5,3.811746762683104
3,4,Python,159,0,1,7.95,1.8229868443300907
18,10,JavaScript,106,3,8,5.3,0.1
3,0,Python,22,1,1,1.1,0.20192016274017952
73,21,Ruby,539,4,10,26.95,9.289821795399671
1,0,JavaScript,51,0,1,2.55,1.737724412930009
16,7,C,151,0,1,7.55,1.1301131135811624
30,4,Rust,186,5,2,9.3,4.6990303660697395
1,0,Python,156,1,1,7.8,3.915184604745451
8,3,Python,838,11,3,41.9,12.838623312746604
11,10,Python,386,3,3,19.3,6.905162335417771
0,0,Rust,80,0,1,4.0,1.1340096467639786
0,7,PHP,366,5,1,18.3,5.18688608611898
1,0,JavaScript,201,3,1,10.05,2.802924415586675
0,0,Swift,65,13,1,3.25,0.683701885220674
3,0,Python,460,1,2,23.0,7.775699339116437
83,9,PHP,257,4,3,12.85,4.257968047809925
8,0,C,892,3,4,44.6,11.785209163317322
5,1,Ruby,31,6,4,1.55,0.1
0,0,C++,82,0,1,4.1,3.14711042734642
8,0,Swift,70,5,2,3.5,0.1
6,2,Python,455,37,4,22.75,8.39422935520869
1689,526,JavaScript,412,152,9,20.6,10.65928614736796
9,2,Python,280,6,2,14.0,2.494690455693986
40,2,Java,1830,1,9,91.5,29.291096016494883
2,0,C#,189,2,2,9.45,4.8844047491342355
24,11,Rust,274,3,3,13.7,4.733516337369182
5,10,Kotlin,116,0,3,5.8,1.0859191047309116
2,5,Python,202,2,2,10.1,3.684687507750481
9,2,C#,575,11,3,28.75,8.597116080749876
2,0,JavaScript,31,2,1,1.55,0.1
1,0,JavaScript,61,1,1,3.05,0.32080103562275053
338,73,C++,1429,3,10,71.45,22.642474732841244
4,0,Lua,33,2,1,1.65,1.3874385423619802
10,0,Rust,32,21,1,1.6,1.2471376974167399
2,3,Python,74,6,2,3.7,0.5870750343686163
61,4,Rust,1198,2,6,59.9,15.884823853646763
2,2,Python,85,7,2,4.25,0.1
30,3,Scala,263,2,2,13.15,1.645829694383063
98,18,C++,23,4,3,1.15,0.41552002878360184
30,10,Python,497,1,4,24.85,8.204410290575943
27,0,Python,391,9,3,19.55,5.670494783151536
39,7,JavaScript,473,5,2,23.65,6.313349634871695
1,3,Lua,297,0,1,14.85,4.948779085249988
31,11,Java,727,8,7,36.35,11.954660632152947
2,0,PHP,18,8,1,0.9,1.1180605838620994
15,2,Rust,1550,8,8,77.5,23.780542361480656
7,0,Go,1011,6,5,50.55,12.631620554253324
71,11,Python,125,1,5,6.25,2.5992740665595737
2,0,Shell,534,1,2,26.7,7.014814870059084
4,5,JavaScript,97,4,1,4.85,1.384111451299297
62,22,Go,528,0,6,26.4,7.3535663093529875
2,3,C++,199,4,1,9.95,1.9808830706380651
20,14,Rust,2134,4,8,106.7,32.00514908493518
4,0,Shell,430,5,2,21.5,6.453324831049036
12,0,Python,92,6,2,4.6,2.153995246195331
4,0,Java,560,2,3,28.0,7.17705708152148
24,0,TypeScript,150,2,6,7.5,3.6884231837576142
0,0,Java,26,0,1,1.3,1.8902034448533396
31,8,Python,315,1,8,15.75,5.422745574170061
3,0,Python,781,1,2,39.05,10.19097032104022
16,0,JavaScript,366,5,2,18.3,3.566846850132979
4,0,JavaScript,78,2,1,3.9,1.3212553315942854
17,0,TypeScript,208,2,6,10.4,2.0214082820215262
187,50,Rust,636,7,10,31.8,11.649607210817155
21,4,Rust,392,1,1,19.6,9.059149645838948
58,1,TypeScript,774,2,4,38.7,10.66460073676541
4,5,TypeScript,52,6,1,2.6,1.7851635076453172
35,8,JavaScript,1941,1,10,97.05,31.842295732990944
3,0,Go,444,3,2,22.2,5.231824603484647
18,5,JavaScript,1633,6,5,81.65,24.11213359094384
36,0,Python,355,2,3,17.75,4.650038557898643
0,0,TypeScript,155,9,1,7.75,0.6669685345708909
4,10,Java,70,2,4,3.5,2.8027948469023634
5,1,JavaScript,949,12,4,47.45,15.010977720299556
15,2,Go,531,1,4,26.55,7.850810273444251
5,1,Go,389,1,4,19.45,5.312036815212128
35,15,C++,669,3,5,33.45,10.02445920758429
23,4,Rust,331,1,6,16.55,5.323223196705533
50,0,Rust,1097,5,5,54.85,16.411373964175898
7,4,JavaScript,590,9,4,29.5,8.344030925160352
16,0,PHP,286,0,6,14.3,5.7137371811197175
2,5,Go,150,0,1,7.5,3.2361483791044403
1241,70,TypeScript,801,3,19,40.05,13.02128484502973
1,0,Rust,3,4,1,0.15,0.1
11,0,TypeScript,1409,4,5,70.45,20.751164059008634
34,2,Java,401,1,10,20.05,6.8506014249926395
7,7,C#,233,0,2,11.65,3.010962909952499
3,5,Scala,339,6,4,16.95,3.649028211822538
19,9,C,1752,2,7,87.6,25.999912796599975
1,0,Java,30,3,1,1.5,0.8245269762856262
1,0,Java,94,8,1,4.7,1.4386941260760804
4,2,PHP,558,1,2,27.9,9.00775391267176
58,19,JavaScript,2875,8,6,143.75,41.93981209205597
14,0,Swift,256,0,7,12.8,4.631906700859669
9,0,Java,69,5,3,3.45,1.1031477166349057
2,0,Python,25,9,1,1.25,0.1
13,10,Python,1567,4,4,78.35,24.133942479782238
6,0,Swift,196,7,5,9.8,4.358151994453415
5,1,Python,110,7,3,5.5,1.308978392685058
4,1,JavaScript,359,0,2,17.95,4.550405540770205
3,6,JavaScript,138,3,3,6.9,0.7486390638861973
0,0,Python,84,13,1,4.2,0.8366180430886455
6,6,JavaScript,206,5,5,10.3,3.7787331935123385
12,0,C#,756,1,5,37.8,11.350250904965918
1,6,Python,24,1,1,1.2,1.444819125646156
1,0,Swift,512,15,1,25.6,6.754898167651354
6,1,Kotlin,88,1,3,4.4,0.1
34,15,TypeScript,470,2,8,23.5,5.841538438570367
0,3,Python,13,1,1,0.65,0.7301657191117987
2,2,Rust,415,2,3,20.75,5.928411014570984
4,0,Python,31,3,2,1.55,0.1
79,14,TypeScript,790,6,11,39.5,12.43596887818792
9,9,Dart,58,9,1,2.9,1.2178211630795257
5,2,R,314,12,3,15.7,4.42994003105007
268,85,Ruby,438,14,16,21.9,6.192750223622482
68,20,JavaScript,694,17,6,34.7,10.89534496889595
5,0,C++,564,0,4,28.2,7.2790352588054406
94,32,C++,2619,28,10,130.95,40.40856849731873
